id,href,title,location,price,vin,model,year,enginesize,enginepower,petrol,car_body,milage,color,condition,transmission,country_originrighthanddrive
764079506,https://www.olx.pl/d/oferta/infiniti-q70-m30d-gt-premium-2011r-zadbany-egzemplarz-CID5-IDPHZZ0.html,Infiniti Q70 M30d GT Premium 2011r Zadbany egzemplarz,"Kraków, Małopolskie",47 900 zł,Jn1bday51u0430164,Pozostałe,2011,2 996 cm³,238 KM,Diesel,Sedan,230 000 km,Czarny,Nieuszkodzony,Automatyczna,Niemcy,po lewej
763001091,https://www.olx.pl/d/oferta/infiniti-qx30-2-0t-211km-4x4-polska-navi-CID5-IDPDtrd.html,INFINITI QX30 2.0t 211KM 4x4 Polska NAVI,"Rybnik, Śląskie",115 000 zł,SJKCH5CP8KA010569,Pozostałe,2019,1 991 cm³,211 KM,Benzyna,Hatchback,45 181 km,Niebieski,Nieuszkodzony,Automatyczna,Stany Zjednoczone,po lewej
763108995,https://www.olx.pl/d/oferta/infiniti-fx-37s-benzyna-gaz-CID5-IDPDWwB.html,Infiniti FX 37S benzyna+gaz,"Zator, Małopolskie",70 000 zł,SJKCH5CP8KA010569,FX,2009,3 696 cm³,320 KM,LPG,SUV,126 000 km,Czarny,Nieuszkodzony,Automatyczna,Polska,po prawej
762425337,https://www.olx.pl/d/oferta/infiniti-qx70-infiniti-qx70-3-0d-s-CID5-IDPB3ER.html,Infiniti QX70 Infiniti QX70 3.0d S,"Bydgoszcz, Kujawsko-pomorskie",95 000 zł,JN1TDNS51U0570843,QX70,2014,2 993 cm³,238 KM,Diesel,SUV,145 878 km,Czarny,Nieuszkodzony,Automatyczna,Polska,po prawej
765472174,https://www.olx.pl/d/oferta/infiniti-fx-45-v8-export-nowy-silnik-CID5-IDPNQho.html,"Infiniti FX 45 V8 export, nowy silnik","Garwolin, Mazowieckie",25 000 zł,JNRBS08W74X401795,FX,2004,4 494 cm³,315 KM,Benzyna,SUV,160 000 km,Żółty – Złoty,Nieuszkodzony,Automatyczna,Polska,po prawej
761130556,https://www.olx.pl/d/oferta/infiniti-fx350-zarej-uszkodzony-okazja-CID5-IDPwCPi.html,Infiniti Fx350 zarej uszkodzony OKAZJA,"Czerńczyce, Dolnośląskie",7 999 zł,JNRBS08W74X401795,FX,2005,3 498 cm³,233 KM,Benzyna,SUV,250 000 km,Czarny,Uszkodzony,Automatyczna,Polska,po lewej
767341208,https://www.olx.pl/d/oferta/infiniti-fx35-benzyna-lpg-2006-CID5-IDPWGw6.html,Infiniti FX35 Benzyna+LPG 2006,"Wrocław, Dolnośląskie",29 999 zł,JNRA508WT6X208038,FX,2006,3 500 cm³,280 KM,Benzyna,SUV,170 000 km,Brązowy – Beżowy,Nieuszkodzony,Automatyczna,Stany Zjednoczone,po lewej
755632278,https://www.olx.pl/d/oferta/infiniti-q50-salon-polska-2-gi-wlasciciel-bezwypadkowy-serwis-aso-f-vat23-CID5-IDP8yto.html,Infiniti Q50 Salon Polska! 2-gi Właściciel! Bezwypadkowy! Serwis ASO! F-Vat23%!,"Warszawa, Mazowieckie",89 900 zł,JN1BCAV27U0290049,Q50,2015,1 991 cm³,211 KM,Benzyna,Sedan,130 000 km,Inny kolor,Nieuszkodzony,Automatyczna,Polska,po lewej
767216918,https://www.olx.pl/d/oferta/infiniti-fx35-lift-2007r-suv-awd-4x4-280km-lpg-147-tys-km-sport-pakiet-CID5-IDPWaaq.html,Infiniti Fx35/Lift/2007r/SUV/AWD/4x4/280km/Lpg/147 tyś km/Sport Pakiet,"Tomaszów Lubelski, Lubelskie",39 999 zł,JN1BCAV27U0290049,FX,2007,3 500 cm³,280 KM,LPG,SUV,147 000 km,Czarny,Nieuszkodzony,Automatyczna,Stany Zjednoczone,po lewej
745097973,https://www.olx.pl/d/oferta/infiniti-fx-fx35-instalacja-lpg-4x4-CID5-IDOqm1f.html,Infiniti FX FX35 Instalacja LPG 4x4,"Gryfice, Zachodniopomorskie",47 999 zł,JNRAS08W98X206332,FX,2008,3 498 cm³,275 KM,LPG,SUV,244 000 km,Czarny,Nieuszkodzony,Automatyczna,Polska,po lewej
723186021,https://www.olx.pl/d/oferta/sprzedam-ladny-8-osobowy-infiniti-qx56-CID5-IDMVpIF.html,Sprzedam ladny 8 osobowy infiniti QX56,"Warszawa, Mazowieckie",38 500 zł,JNRAS08W98X206332,Pozostałe,2006,555 cm³,360 KM,LPG,SUV,136 000 km,Szary,Nieuszkodzony,Automatyczna,Litwa,po lewej
764569715,https://www.olx.pl/d/oferta/infiniti-q50-q50-2-0l-sport-tech-rwd-7at-my18-211km-android-auto-CID5-IDPK3wB.html,Infiniti Q50 Q50 2.0L SPORT TECH RWD 7AT MY18 211kM + Android Auto,"Zawonia, Dolnośląskie",95 000 zł,JN1BCAV37U0540059,Q50,2017,1 991 cm³,211 KM,Benzyna,Sedan,80 761 km,Czerwony,Nieuszkodzony,Automatyczna,Polska,po lewej
753150602,https://www.olx.pl/d/oferta/infiniti-q50-300km-4x4-CID5-IDOY8Sm.html,Infiniti Q50 300kM 4x4,"Rzeszów, Podkarpackie",77 500 zł,JN1EV7AR1GM344987,Q50,2016,2 997 cm³,405 KM,Benzyna,Sedan,75 400 km,Inny kolor,Nieuszkodzony,Automatyczna,Stany Zjednoczone,po lewej
761070161,https://www.olx.pl/d/oferta/infiniti-q60s-2018-CID5-IDPwn7b.html,Infiniti q60s - 2018,"Giżycko, Warmińsko-mazurskie",129 000 zł,JN1EV7AR1GM344987,Pozostałe,2018,2 000 cm³,211 KM,Benzyna,Coupe,44 000 km,Czerwony,Nieuszkodzony,Automatyczna,Stany Zjednoczone,po lewej
767266025,https://www.olx.pl/d/oferta/infiniti-ex-infiniti-ex35-4wd-lpg-brc-CID5-IDPWmVt.html,Infiniti EX Infiniti ex35 4WD + lpg BRC,"Kazimierz Dolny, Lubelskie",42 000 zł,JNKAJ09F98M351033,FX,2008,3 498 cm³,297 KM,LPG,SUV,175 000 km,Szary,Nieuszkodzony,Automatyczna,Polska,po lewej
765888821,https://www.olx.pl/d/oferta/infiniti-ex35-v6-2008-zadbany-CID5-IDPPAFw.html,Infiniti EX35 V6 2008 zadbany,"Warszawa, Mazowieckie",34 500 zł,JNKAJ09F98M351033,Pozostałe,2008,3 500 cm³,320 KM,Benzyna,Kombi,170 000 km,Biały,Nieuszkodzony,Automatyczna,Stany Zjednoczone,po lewej
759024043,https://www.olx.pl/d/oferta/infiniti-q50-s-red-sport-tech-405hp-awd-bezwypadkowy-akebono-CID5-IDPmMPh.html,Infiniti Q50 S Red Sport Tech 405hp AWD Bezwypadkowy Akebono,"Limanowa, Małopolskie",169 500 zł,JN1EV7AR877777777,Q50,2019,2 997 cm³,405 KM,Benzyna,Sedan,10 400 km,Biały,Nieuszkodzony,Automatyczna,Kanada,po lewej
